name	verified_gender	title	honorific_prefix	given_name	family_name	title_in_lords	link	life_span	birth	death	constituency	service_span	commons_service_beginning	commons_service_ending	lords_service_beginning	lords_service_ending	entire_service_beginning	entire_service_ending	house	commons_service_span
Clarke, Tom (Mr)	m	Mr	Mr	Tom	Clarke	unknown	mr-tom-clarke	January 10, 1941 -	1941	unknown	['Coatbridge and Airdrie', 'Monklands West', 'Coatbridge and Chryston', 'Coatbridge, Chryston and Bellshill']	[' June 24, 1982 - June  9, 1983', ' June  9, 1983 - May  1, 1997', ' May  1, 1997 - May  5, 2005', ' May  5, 2005 - ?']	1982	unknown	unknown	unknown	1982	1982	commons	unknown
Clarke, Tony (Mr)	m	Mr	Mr	Tony	Clarke	unknown	mr-tony-clarke	September  6, 1963 -	1963	unknown	['Northampton South']	[' May  1, 1997 - May  5, 2005']	1997	2005	unknown	unknown	1997	2005	commons	8
Clarry, Reginald (Sir)	m	Sir	Sir	Reginald	Clarry	unknown	sir-reginald-clarry	1882 - January 17, 1945	1882	1945	['Newport', 'Newport']	[' October 18, 1922 - May 30, 1929', ' October 27, 1931 - January 17, 1945']	1922	1945	unknown	unknown	1922	1945	commons	21
Claughton, Thomas (Mr)	m	Mr	Mr	Thomas	Claughton	unknown	mr-thomas-claughton	1774 - March  8, 1842	1774	1842	['Newton']	[' June 18, 1818 - February 11, 1825']	1818	1825	unknown	unknown	1818	1825	commons	7
Clauson, Albert (Mr)	m	Mr	Mr	Albert	Clauson	Baron Clauson February 20, 1942 - March 15, 1946	mr-albert-clauson	January 14, 1870 - March 15, 1946	1870	1946	['unknown']	['unknown']	unknown	unknown	1942	1946	1942	1946	lords	unknown
Clay, James (Mr)	m	Mr	Mr	James	Clay	unknown	mr-james-clay	1804 - 1873	1804	1873	['Kingston upon Hull', 'Kingston upon Hull']	[' July 29, 1847 - 1853', ' February 11, 1857 - September 26, 1873']	1847	1873	unknown	unknown	1847	1873	commons	22
Clay, Robert (Mr)	m	Mr	Mr	Robert	Clay	unknown	mr-robert-clay	October  2, 1946 -	1946	unknown	['Sunderland North']	[' June  9, 1983 - April  9, 1992']	1983	1992	unknown	unknown	1983	1992	commons	9
Clay, William (Sir)	m	Sir	Sir	William	Clay	unknown	sir-william-clay	1791 - 1869	1791	1869	['Tower Hamlets']	[' December 10, 1832 - March 27, 1857']	1832	1857	unknown	unknown	1832	1857	commons	25
Clayton, George (Sir)	m	Sir	Sir	George	Clayton	unknown	sir-george-clayton	1869 - July 28, 1945	1869	1945	['Widnes', 'Wirral']	[' November 15, 1922 - May 30, 1929', ' October 27, 1931 - November 14, 1935']	1922	1935	unknown	unknown	1922	1935	commons	11
Clayton, Nathaniel (Mr)	m	Mr	Mr	Nathaniel	Clayton	unknown	mr-nathaniel-clayton	1833 - 1895	1833	1895	['Hexham']	[' July  4, 1892 - 1892']	1892	1892	unknown	unknown	1892	1892	commons	0
Clayton, Rice (Mr)	m	Mr	Mr	Rice	Clayton	unknown	mr-rice-clayton	1797 - 1879	1797	1879	['Aylesbury']	[' June 29, 1841 - July 29, 1847']	1841	1847	unknown	unknown	1841	1847	commons	6
Clayton, William (Sir)	m	Sir	Sir	William	Clayton	unknown	sir-william-clayton	1786 - 1866	1786	1866	['Great Marlow']	[' December 10, 1832 - July 29, 1847']	1832	1847	unknown	unknown	1832	1847	commons	15
Cleary, Joseph (Mr)	m	Mr	Mr	Joseph	Cleary	unknown	mr-joseph-cleary	October 26, 1902 -	1902	unknown	['Liverpool Wavertree']	[' February  6, 1935 - November 14, 1935']	1935	1935	unknown	unknown	1935	1935	commons	0
Cleaver, Leonard (Mr)	m	Mr	Mr	Leonard	Cleaver	unknown	mr-leonard-cleaver	October 27, 1909 - July  7, 1993	1909	1993	['Birmingham Yardley']	[' October  8, 1959 - October 15, 1964']	1959	1964	unknown	unknown	1959	1964	commons	5
Clegg, Nick (Mr)	m	Mr	Mr	Nick	Clegg	unknown	mr-nick-clegg	January  7, 1967 -	1967	unknown	['Sheffield Hallam']	[' May  5, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Clegg, Walter (Sir)	m	Sir	Sir	Walter	Clegg	unknown	sir-walter-clegg	April 18, 1920 - 1994	1920	1994	['North Fylde', 'Wyre']	[' March 31, 1966 - June  9, 1983', ' June  9, 1983 - June 11, 1987']	1966	1987	unknown	unknown	1966	1987	commons	21
Clegg-Hill, Antony (Mr)	m	Mr	Mr	Antony	Clegg-Hill	Viscount Hill May 11, 1974 - November 11, 1999	mr-antony-clegg-hill	March 19, 1931 - March 12, 2003	1931	2003	['unknown']	['unknown']	unknown	unknown	1974	1999	1974	1999	lords	unknown
Cleland, James (Mr)	m	Mr	Mr	James	Cleland	unknown	mr-james-cleland	1874 - October 21, 1914	1874	1914	['Glasgow Bridgeton']	[' January 12, 1906 - December  3, 1910']	1906	1910	unknown	unknown	1906	1910	commons	4
Clelland, David (Mr)	m	Mr	Mr	David	Clelland	unknown	mr-david-clelland	June 27, 1943 -	1943	unknown	['Tyne Bridge']	[' December  5, 1985 - ?']	1985	unknown	unknown	unknown	1985	1985	commons	unknown
Clement, William (Mr)	m	Mr	Mr	William	Clement	unknown	mr-william-clement	1802 - 1870	1802	1870	['Shrewsbury']	[' July 11, 1865 - August 29, 1870']	1865	1870	unknown	unknown	1865	1870	commons	5
Clement-Jones, Timothy (Mr)	m	Mr	Mr	Timothy	Clement-Jones	Lord Clement-Jones July 17, 1998 -	mr-timothy-clement-jones	October 26, 1949 -	1949	unknown	['unknown']	['unknown']	unknown	unknown	unknown	1998	1998	1998	lords	unknown
Clements,  (Viscount)	m	Viscount	Viscount	None	Clements	unknown	viscount-clements	1805 - 1839	1805	1839	['Leitrim', 'Leitrim']	[' June 20, 1826 - August 16, 1830', ' December 10, 1832 - January 24, 1839']	1826	1839	unknown	unknown	1826	1839	commons	11
Clements,  (Viscount)	m	Viscount	Viscount	None	Clements	3rd Earl of Leitrim 1854 - 1878	viscount-clements-1	1806 - 1878	1806	1878	['Leitrim']	[' March  6, 1839 - July 29, 1847']	1839	1847	1854	1878	1839	1878	commons_lords	8
Clements, Charles (Hon.)	m	Hon.	Hon.	Charles	Clements	unknown	hon-charles-clements	1807 - 1877	1807	1877	['Leitrim']	[' July 29, 1847 - July  7, 1852']	1847	1852	unknown	unknown	1847	1852	commons	5
Clements, Charles (Mr)	m	Mr	Mr	Charles	Clements	Baron Clements of Kilmacrenan April  5, 1892 - June  9, 1952	mr-charles-clements	June 23, 1879 - June  9, 1952	1879	1952	['unknown']	['unknown']	unknown	unknown	1892	1952	1892	1952	lords	unknown
Clements, Henry (Mr)	m	Mr	Mr	Henry	Clements	unknown	mr-henry-clements	1781 - 1843	1781	1843	['Leitrim', 'Cavan']	[' February  5, 1805 - August  4, 1818', ' August 12, 1840 - 1843']	1805	1843	unknown	unknown	1805	1843	commons	16
Clements, John (Mr)	m	Mr	Mr	John	Clements	unknown	mr-john-clements	1789 - 1833	1789	1833	['Leitrim', 'Leitrim']	[' March 21, 1820 - June 19, 1826', ' August 16, 1830 - December 24, 1832']	1820	1832	unknown	unknown	1820	1832	commons	8
Clements, Nathaniel (Mr)	m	Mr	Mr	Nathaniel	Clements	Baron Clements of Kilmacrenan June 20, 1831 - December 31, 1854	mr-nathaniel-clements	May  9, 1768 - December 31, 1854	1768	1854	['unknown']	['unknown']	unknown	unknown	1831	1854	1831	1854	lords	unknown
Clements, Robert (Mr)	m	Mr	Mr	Robert	Clements	Baron Clements of Kilmacrenan April  2, 1878 - April  5, 1892	mr-robert-clements	March  5, 1847 - April  5, 1892	1847	1892	['unknown']	['unknown']	unknown	unknown	1878	1892	1878	1892	lords	unknown
Clements, William (Mr)	m	Mr	Mr	William	Clements	Baron Clements of Kilmacrenan December 31, 1854 - April  2, 1871	mr-william-clements	October 16, 1806 - April  2, 1871	1806	1871	['unknown']	['unknown']	unknown	unknown	1854	1871	1854	1871	lords	unknown
Clemitson, Ivor (Mr)	m	Mr	Mr	Ivor	Clemitson	unknown	mr-ivor-clemitson	December  8, 1931 - December 24, 1997	1931	1997	['Luton East']	[' February 28, 1974 - May  3, 1979']	1974	1979	unknown	unknown	1974	1979	commons	5
Clephane, David (Mr)	m	Mr	Mr	David	Clephane	unknown	mr-david-clephane	1760 - 1828	1760	1828	['Clackmannanshire and Kinross-shire', 'Clackmannanshire and Kinross-shire']	[' August 23, 1803 - November 18, 1806', ' August 17, 1807 - June 25, 1811']	1803	1811	unknown	unknown	1803	1811	commons	7
Clerk, George (Sir)	m	Sir	Sir	George	Clerk	unknown	sir-george-clerk	1787 - 1867	1787	1867	['Edinburghshire', 'Edinburgh', 'Edinburghshire', 'Stamford', 'Dover']	[' July  6, 1811 - December 24, 1832', ' January  6, 1835 - July 24, 1837', ' January 17, 1835 - August  3, 1837', ' May  1, 1838 - July 29, 1847', ' July 29, 1847 - July  7, 1852']	1811	1852	unknown	unknown	1811	1852	commons	39
Cliffe, Michael (Mr)	m	Mr	Mr	Michael	Cliffe	unknown	mr-michael-cliffe	1904 - August  9, 1964	1904	1964	['Shoreditch and Finsbury']	[' November 27, 1958 - August  9, 1964']	1958	1964	unknown	unknown	1958	1964	commons	6
Clifford, Augustus (Mr)	m	Mr	Mr	Augustus	Clifford	unknown	mr-augustus-clifford	May 26, 1788 - February  9, 1877	1788	1877	['Bandon', 'Dungarvan', 'Bandon']	[' June 27, 1818 - March 13, 1820', ' March 13, 1820 - February 18, 1822', ' July 22, 1831 - December 15, 1832']	1818	1832	unknown	unknown	1818	1832	commons	5
Clifford, Charles (Mr)	m	Mr	Mr	Charles	Clifford	Baron Clifford of Chudleigh February 28, 1858 - August  5, 1880	mr-charles-clifford-1	July 27, 1819 - August  5, 1880	1819	1880	['unknown']	['unknown']	unknown	unknown	1858	1880	1858	1880	lords	unknown
Clifford, Charles (Mr)	m	Mr	Mr	Charles	Clifford	unknown	mr-charles-clifford	1821 - 1895	1821	1895	['Isle of Wight', 'Newport']	[' March 27, 1857 - July 11, 1865', ' November 23, 1870 - November 24, 1885']	1857	1885	unknown	unknown	1857	1885	commons	23
Clifford, Charles (Mr)	m	Mr	Mr	Charles	Clifford	Baron Clifford of Chudleigh January 15, 1793 - April 29, 1831	mr-charles-clifford-3	November 28, 1759 - April 29, 1831	1759	1831	['unknown']	['unknown']	unknown	unknown	1793	1831	1793	1831	lords	unknown
Clifford, Charles (Mr)	m	Mr	Mr	Charles	Clifford	Baron Clifford of Chudleigh July  5, 1943 - February  1, 1962	mr-charles-clifford-2	April 24, 1887 - February  1, 1962	1887	1962	['unknown']	['unknown']	unknown	unknown	1943	1962	1943	1962	lords	unknown
Clifford, Henry (Mr)	m	Mr	Mr	Henry	Clifford	unknown	mr-henry-clifford	1806 - 1884	1806	1884	['Hereford']	[' July 29, 1847 - July 11, 1865']	1847	1865	unknown	unknown	1847	1865	commons	18
Clifford, Hugh (Mr)	m	Mr	Mr	Hugh	Clifford	Baron Clifford of Chudleigh April 29, 1831 - February 28, 1858	mr-hugh-clifford	May 22, 1790 - February 28, 1858	1790	1858	['unknown']	['unknown']	unknown	unknown	1831	1858	1831	1858	lords	unknown
Clifford, Lewis (Mr)	m	Mr	Mr	Lewis	Clifford	Baron Clifford of Chudleigh August  5, 1880 - July 19, 1916	mr-lewis-clifford-1	August 24, 1851 - July 19, 1916	1851	1916	['unknown']	['unknown']	unknown	unknown	1880	1916	1880	1916	lords	unknown
Clifford, Lewis (Mr)	m	Mr	Mr	Lewis	Clifford	Lord Clifford of Chudleigh August 27, 1964 - March 17, 1988	mr-lewis-clifford	April 13, 1916 - March 17, 1988	1916	1988	['unknown']	['unknown']	unknown	unknown	1964	1988	1964	1988	lords	unknown
Clifford, Lewis (Mr)	m	Mr	Mr	Lewis	Clifford	Baron Clifford of Chudleigh February  1, 1962 - August 27, 1964	mr-lewis-clifford-2	February  7, 1889 - August 27, 1964	1889	1964	['unknown']	['unknown']	unknown	unknown	1962	1964	1962	1964	lords	unknown
Clifford, Thomas (Mr)	m	Mr	Mr	Thomas	Clifford	Lord Clifford of Chudleigh March 17, 1988 - November 11, 1999	mr-thomas-clifford	March 17, 1948 -	1948	unknown	['unknown']	['unknown']	unknown	unknown	1988	1999	1988	1999	lords	unknown
Clifford, William (Mr)	m	Mr	Mr	William	Clifford	Baron Clifford of Chudleigh July 19, 1916 - July  5, 1943	mr-william-clifford	December 17, 1858 - July  5, 1943	1858	1943	['unknown']	['unknown']	unknown	unknown	1916	1943	1916	1943	lords	unknown
Clifford-Constable, Thomas (Sir)	m	Sir	Sir	Thomas	Clifford-Constable	unknown	sir-thomas-clifford-constable	May  3, 1807 - December 23, 1870	1807	1870	['Hedon']	[' July 30, 1830 - December 10, 1832']	1830	1832	unknown	unknown	1830	1832	commons	2
Clifton Brown, Douglas (Mr)	m	Mr	Mr	Douglas	Clifton Brown	Viscount Ruffside December 14, 1951 - May  5, 1958	mr-douglas-clifton-brown	1879 - May  5, 1958	1879	1958	['Hexham', 'Hexham']	[' December 14, 1918 - December  6, 1923', ' October 29, 1924 - October 25, 1951']	1918	1951	1951	1958	1918	1958	commons_lords	32
Clifton, Cecil (Mr)	m	Mr	Mr	Cecil	Clifton	Lord Grey August 29, 1912 - May 21, 1934	mr-cecil-clifton	January  9, 1862 - May 21, 1934	1862	1934	['unknown']	['unknown']	unknown	unknown	1912	1934	1912	1934	lords	unknown
Clifton, John (Mr)	m	Mr	Mr	John	Clifton	unknown	mr-john-clifton	1819 - 1882	1819	1882	['Lancashire Northern']	[' September 20, 1844 - July  7, 1852']	1844	1852	unknown	unknown	1844	1852	commons	8
Clifton, Rawdon (Mr)	m	Mr	Mr	Rawdon	Clifton	Lord Grey December 15, 1887 - August 29, 1912	mr-rawdon-clifton	November 14, 1858 - August 29, 1912	1858	1912	['unknown']	['unknown']	unknown	unknown	1887	1912	1887	1912	lords	unknown
Clifton, Robert (Sir)	m	Sir	Sir	Robert	Clifton	unknown	sir-robert-clifton	1826 - 1869	1826	1869	['Nottingham', 'Nottingham']	[' December 26, 1861 - 1866', ' November 17, 1868 - March 30, 1869']	1861	1869	unknown	unknown	1861	1869	commons	6
Clifton, Thomas (Mr)	m	Mr	Mr	Thomas	Clifton	unknown	mr-thomas-clifton	1845 - 1880	1845	1880	['Lancashire Northern']	[' January 31, 1874 - March 31, 1880']	1874	1880	unknown	unknown	1874	1880	commons	6
Clifton-Brown, Geoffrey (Lieut-Colonel)	m	Lieut-Colonel	Lieut-Colonel	Geoffrey	Clifton-Brown	unknown	lieut-colonel-geoffrey-clifton-brown	1899 - November 17, 1983	1899	1983	['Bury St Edmunds']	[' July  5, 1945 - February 23, 1950']	1945	1950	unknown	unknown	1945	1950	commons	5
Clifton-Brown, Geoffrey (Mr)	m	Mr	Mr	Geoffrey	Clifton-Brown	unknown	mr-geoffrey-clifton-brown	March 23, 1953 -	1953	unknown	['Cirencester and Tewkesbury', 'Cotswold']	[' April  9, 1992 - May  1, 1997', ' May  1, 1997 - ?']	1992	unknown	unknown	unknown	1992	1992	commons	unknown
Clifton-Hastings-Campbell, Gilbert (Mr)	m	Mr	Mr	Gilbert	Clifton-Hastings-Campbell	Baron Donington May 17, 1920 - May 31, 1927	mr-gilbert-clifton-hastings-campbell	May 29, 1859 - May 31, 1927	1859	1927	['unknown']	['unknown']	unknown	unknown	1920	1927	1920	1927	lords	unknown
Climie, Robert (Mr)	m	Mr	Mr	Robert	Climie	unknown	mr-robert-climie	1868 - October  3, 1929	1868	1929	['Kilmarnock', 'Kilmarnock']	[' December  6, 1923 - October 29, 1924', ' May 30, 1929 - October  3, 1929']	1923	1929	unknown	unknown	1923	1929	commons	1
Clinton, Arthur (Lord)	m	Lord	Lord	Arthur	Clinton	unknown	lord-arthur-clinton	1840 - 1870	1840	1870	['Newark-on-Trent']	[' July 11, 1865 - November 17, 1868']	1865	1868	unknown	unknown	1865	1868	commons	3
Clinton, Charles (Lord)	m	Lord	Lord	Charles	Clinton	unknown	lord-charles-clinton	1813 - 1894	1813	1894	['Sandwich']	[' July  7, 1852 - March 27, 1857']	1852	1857	unknown	unknown	1852	1857	commons	5
Clinton, Edward (Lord)	m	Lord	Lord	Edward	Clinton	unknown	lord-edward-clinton	1836 - July  9, 1907	1836	1907	['Nottinghamshire Northern']	[' July 11, 1865 - November 17, 1868']	1865	1868	unknown	unknown	1865	1868	commons	3
Clinton, Henry (Mr)	m	Mr	Mr	Henry	Clinton	unknown	mr-henry-clinton	March  9, 1771 - December 11, 1829	1771	1829	['Boroughbridge']	[' February 29, 1808 - June 20, 1818']	1808	1818	unknown	unknown	1808	1818	commons	10
Clinton, Robert (Lord)	m	Lord	Lord	Robert	Clinton	unknown	lord-robert-clinton	1820 - 1867	1820	1867	['Nottinghamshire Northern']	[' July  7, 1852 - July 11, 1865']	1852	1865	unknown	unknown	1852	1865	commons	13
Clinton, William (Mr)	m	Mr	Mr	William	Clinton	unknown	mr-william-clinton	December 23, 1769 - February 15, 1846	1769	1846	['Boroughbridge', 'Newark-on-Trent']	[' November  3, 1806 - August  4, 1818', ' June 19, 1818 - March  6, 1829']	1806	1829	unknown	unknown	1806	1829	commons	23
Clinton-Davis, Stanley (Mr)	m	Mr	Mr	Stanley	Clinton-Davis	Baron Clinton-Davies May  8, 1990 -	mr-stanley-clinton-davis	December  6, 1928 -	1928	unknown	['unknown']	['unknown']	unknown	unknown	unknown	1990	1990	1990	lords	unknown
Clitherow, Richard (Dr)	m	Dr	Dr	Richard	Clitherow	unknown	dr-richard-clitherow	January 18, 1902 - June  3, 1947	1902	1947	['Liverpool Edge Hill']	[' July  5, 1945 - June  3, 1947']	1945	1947	unknown	unknown	1945	1947	commons	2
Clive,  (Viscount)	m	Viscount	Viscount	None	Clive	3rd Earl of Powis 1848 - 1891	viscount-clive-1	1818 - 1891	1818	1891	['Shropshire Northern']	[' January 16, 1843 - January 17, 1848']	1843	1848	1848	1891	1843	1891	commons_lords	5
Clive,  (Viscount)	m	Viscount	Viscount	None	Clive	2nd Earl of Powis 1839 - 1848	viscount-clive	1785 - 1848	1785	1848	['Ludlow']	[' December 10, 1832 - May 16, 1839']	1832	1839	1839	1848	1832	1848	commons_lords	7
Clive, Edward (Mr)	m	Mr	Mr	Edward	Clive	unknown	mr-edward-clive-1	1765 - 1845	1765	1845	['Hereford']	[' December 10, 1832 - July 22, 1845']	1832	1845	unknown	unknown	1832	1845	commons	13
Clive, Edward (Mr)	m	Mr	Mr	Edward	Clive	unknown	mr-edward-clive	1837 - March  1, 1916	1837	1916	['Hereford']	[' March 30, 1869 - 1871']	1869	1871	unknown	unknown	1869	1871	commons	2
Clive, Edward (Mr)	m	Mr	Mr	Edward	Clive	Baron Clive of Walcot August 13, 1794 - May 16, 1839	mr-edward-clive-2	March  7, 1754 - May 16, 1839	1754	1839	['unknown']	['unknown']	unknown	unknown	1794	1839	1794	1839	lords	unknown
Clive, George (Mr)	m	Mr	Mr	George	Clive	unknown	mr-george-clive	1806 - 1880	1806	1880	['Hereford', 'Hereford']	[' March 27, 1857 - 1869', ' January 31, 1874 - March 31, 1880']	1857	1880	unknown	unknown	1857	1880	commons	18
Clive, Henry (Mr)	m	Mr	Mr	Henry	Clive	unknown	mr-henry-clive	1800 - 1870	1800	1870	['Ludlow']	[' July 29, 1847 - July  7, 1852']	1847	1852	unknown	unknown	1847	1852	commons	5
Clive, Henry (Mr)	m	Mr	Mr	Henry	Clive	unknown	mr-henry-clive-1	1777 - March 16, 1848	1777	1848	['Ludlow', 'Montgomery District of Boroughs']	[' May  8, 1807 - June 17, 1818', ' June 17, 1818 - December 10, 1832']	1807	1832	unknown	unknown	1807	1832	commons	25
Clive, Percy (Lieut-Colonel)	m	Lieut-Colonel	Lieut-Colonel	Percy	Clive	unknown	lieut-colonel-percy-clive	1873 - April  5, 1918	1873	1918	['Ross', 'Ross']	[' October  1, 1900 - January 12, 1906', ' January 31, 1908 - April  5, 1918']	1900	1918	unknown	unknown	1900	1918	commons	16
Clive, Robert (Hon.)	m	Hon.	Hon.	Robert	Clive	unknown	hon-robert-clive	1789 - 1854	1789	1854	['Ludlow', 'Shropshire Southern']	[' June 17, 1818 - December 13, 1832', ' December 10, 1832 - January 20, 1854']	1818	1854	unknown	unknown	1818	1854	commons	36
Clive, Robert (Hon.)	m	Hon.	Hon.	Robert	Clive	unknown	hon-robert-clive-1	1824 - 1859	1824	1859	['Ludlow', 'Shropshire Southern']	[' July  7, 1852 - February  8, 1854', ' February  8, 1854 - August  4, 1859']	1852	1859	unknown	unknown	1852	1859	commons	7
Clive, Robert (Mr)	m	Mr	Mr	Robert	Clive	unknown	mr-robert-clive	August 30, 1769 - July 28, 1833	1769	1833	['Ludlow']	[' October 10, 1794 - June 22, 1807']	1794	1807	unknown	unknown	1794	1807	commons	13
Clive, William (Mr)	m	Mr	Mr	William	Clive	unknown	mr-william-clive	August 29, 1745 - June 23, 1825	1745	1825	"[""Bishop's Castle""]"	[' March 31, 1779 - December 31, 1820']	1779	1820	unknown	unknown	1779	1820	commons	41
Close, Maxwell (Mr)	m	Mr	Mr	Maxwell	Close	unknown	mr-maxwell-close	1827 - 1903	1827	1903	['Armagh', 'Armagh']	[' March 27, 1857 - 1864', ' January 31, 1874 - November 24, 1885']	1857	1885	unknown	unknown	1857	1885	commons	18
Clough, Robert (Sir)	m	Sir	Sir	Robert	Clough	unknown	sir-robert-clough	1873 - September 27, 1965	1873	1965	['Keighley']	[' December 14, 1918 - November 15, 1922']	1918	1922	unknown	unknown	1918	1922	commons	4
Clough, Walter (Mr)	m	Mr	Mr	Walter	Clough	unknown	mr-walter-clough	1846 - April 17, 1922	1846	1922	['Portsmouth']	[' July  4, 1892 - April 23, 1900']	1892	1900	unknown	unknown	1892	1900	commons	8
Clough, William (Mr)	m	Mr	Mr	William	Clough	unknown	mr-william-clough	1862 - May 11, 1937	1862	1937	['Skipton']	[' January 12, 1906 - December 14, 1918']	1906	1918	unknown	unknown	1906	1918	commons	12
Clowes, Samuel (Mr)	m	Mr	Mr	Samuel	Clowes	unknown	mr-samuel-clowes	1821 - 1898	1821	1898	['Leicestershire Northern']	[' November 17, 1868 - March 31, 1880']	1868	1880	unknown	unknown	1868	1880	commons	12
Clowes, Samuel (Mr)	m	Mr	Mr	Samuel	Clowes	unknown	mr-samuel-clowes-1	1864 - March 25, 1928	1864	1928	['Stoke-on-Trent Hanley']	[' October 29, 1924 - March 25, 1928']	1924	1928	unknown	unknown	1924	1928	commons	4
Clunie, James (Mr)	m	Mr	Mr	James	Clunie	unknown	mr-james-clunie	1889 - February 25, 1974	1889	1974	['Dunfermline Burghs']	[' February 23, 1950 - October  8, 1959']	1950	1959	unknown	unknown	1950	1959	commons	9
Cluse, William (Mr)	m	Mr	Mr	William	Cluse	unknown	mr-william-cluse	1875 - September  8, 1955	1875	1955	['Islington South', 'Islington South']	[' December  6, 1923 - October 27, 1931', ' November 14, 1935 - February 23, 1950']	1923	1950	unknown	unknown	1923	1950	commons	23
Clwyd, Ann (Ms)	f	Ms	Ms	Ann	Clwyd	unknown	ms-ann-clwyd	March 21, 1937 -	1937	unknown	['Cynon Valley']	[' May  3, 1984 - ?']	1984	unknown	unknown	unknown	1984	1984	commons	unknown
Clyde, James (Mr)	m	Mr	Mr	James	Clyde	Lord Clyde 1955 - June 30, 1975	mr-james-clyde	1898 - June 30, 1975	1898	1975	['Edinburgh North']	[' February 23, 1950 - December 31, 1954']	1950	1954	1955	1975	1950	1975	commons_lords	4
Clyde, James (Mr)	m	Mr	Mr	James	Clyde	Lord Clyde October  1, 1996 -	mr-james-clyde-2	January 29, 1932 -	1932	unknown	['unknown']	['unknown']	unknown	unknown	1996	unknown	1996	1996	lords	unknown
Clyde, James (Mr)	m	Mr	Mr	James	Clyde	Lord Clyde 1920 - June 16, 1944	mr-james-clyde-1	1863 - June 16, 1944	1863	1944	['Edinburgh West', 'Edinburgh North']	[' May 17, 1909 - December 14, 1918', ' December 14, 1918 - March 25, 1920']	1909	1920	1920	1944	1909	1944	commons_lords	11
Clynes, John (Mr)	m	Mr	Mr	John	Clynes	unknown	mr-john-clynes	1869 - October 23, 1949	1869	1949	['Manchester North East', 'Manchester Platting', 'Manchester Platting']	[' January 12, 1906 - December 14, 1918', ' December 14, 1918 - October 27, 1931', ' November 14, 1935 - July  5, 1945']	1906	1945	unknown	unknown	1906	1945	commons	35
Coaker, Vernon (Mr)	m	Mr	Mr	Vernon	Coaker	unknown	mr-vernon-coaker	June 17, 1953 -	1953	unknown	['Gedling']	[' May  1, 1997 - ?']	1997	unknown	unknown	unknown	1997	1997	commons	unknown
Coates, Edward (Sir)	m	Sir	Sir	Edward	Coates	unknown	sir-edward-coates	1853 - August 14, 1921	1853	1921	['Lewisham', 'Lewisham West']	[' December 15, 1903 - December 14, 1918', ' December 14, 1918 - August 14, 1921']	1903	1921	unknown	unknown	1903	1921	commons	18
Coates, Norman (Lieut-Colonel)	m	Lieut-Colonel	Lieut-Colonel	Norman	Coates	unknown	lieut-colonel-norman-coates	1890 -	1890	unknown	['Isle of Ely']	[' November 15, 1922 - December  6, 1923']	1922	1923	unknown	unknown	1922	1923	commons	1
Coats, George (Mr)	m	Mr	Mr	George	Coats	Baron Glentanar June 29, 1916 - November 26, 1918	mr-george-coats	February 11, 1849 - November 26, 1918	1849	1918	['unknown']	['unknown']	unknown	unknown	1916	1918	1916	1918	lords	unknown
Coats, Stuart (Sir)	m	Sir	Sir	Stuart	Coats	unknown	sir-stuart-coats	1868 - July 15, 1959	1868	1959	['Wimbledon', 'Surrey Eastern']	[' April 19, 1916 - December 14, 1918', ' December 14, 1918 - November 15, 1922']	1916	1922	unknown	unknown	1916	1922	commons	6
Coats, Thomas (Mr)	m	Mr	Mr	Thomas	Coats	Baron Glentanar November 26, 1918 - June 28, 1971	mr-thomas-coats	December  4, 1894 - June 28, 1971	1894	1971	['unknown']	['unknown']	unknown	unknown	1918	1971	1918	1971	lords	unknown
Cobb, Cyril (Sir)	m	Sir	Sir	Cyril	Cobb	unknown	sir-cyril-cobb	1861 - March  8, 1938	1861	1938	['Fulham West', 'Fulham West']	[' December 14, 1918 - May 30, 1929', ' May  6, 1930 - March  8, 1938']	1918	1938	unknown	unknown	1918	1938	commons	19
Cobb, Edward (Captain)	m	Captain	Captain	Edward	Cobb	unknown	captain-edward-cobb	1891 - May 14, 1957	1891	1957	['Preston']	[' November 25, 1936 - July  5, 1945']	1936	1945	unknown	unknown	1936	1945	commons	9
Cobb, Frederick (Mr)	m	Mr	Mr	Frederick	Cobb	unknown	mr-frederick-cobb	February 11, 1901 - March 27, 1950	1901	1950	['Elland', 'Brighouse and Spenborough']	[' July  5, 1945 - February 23, 1950', ' February 23, 1950 - March 27, 1950']	1945	1950	unknown	unknown	1945	1950	commons	5
Cobb, Henry (Mr)	m	Mr	Mr	Henry	Cobb	unknown	mr-henry-cobb	1835 - January 27, 1910	1835	1910	['Rugby']	[' November 24, 1885 - July 13, 1895']	1885	1895	unknown	unknown	1885	1895	commons	10
Cobbett, John (Mr)	m	Mr	Mr	John	Cobbett	unknown	mr-john-cobbett	1800 - 1877	1800	1877	['Oldham', 'Oldham']	[' July  7, 1852 - July 11, 1865', ' June  5, 1872 - February 13, 1877']	1852	1877	unknown	unknown	1852	1877	commons	18
Cobbett, William (Mr)	m	Mr	Mr	William	Cobbett	unknown	mr-william-cobbett	1763 - 1835	1763	1835	['Oldham']	[' December 10, 1832 - June 18, 1835']	1832	1835	unknown	unknown	1832	1835	commons	3
